name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,FuzzySFLDT average wasted effort,FuzzySFLDT average fix accuracy,FuzzySFLDT average fix accuracy increase,STAT_FuzzySFLDT average wasted effort,STAT_FuzzySFLDT average fix accuracy,STAT_FuzzySFLDT average fix accuracy increase
diggle_table_a2,3,6,64.78494623655915,94.35483870967742,29.569892473118284,84.13978494623656,19.35483870967742,0.0,64.78494623655915,0.0,0.0,81.98924731182797,17.20430107526882
echocardiogram,3,2,50.0,69.23076923076923,19.23076923076923,88.46153846153845,38.46153846153846,0.0,69.23076923076923,19.23076923076923,0.0,78.84615384615384,28.846153846153847
ecoli,11,8,54.291044776119406,67.16417910447761,12.873134328358214,77.23880597014926,22.94776119402985,3.75,63.992537313432834,9.701492537313433,2.5,63.99253731343282,9.701492537313433
elusage,7,4,59.090909090909086,45.45454545454545,-13.636363636363637,68.18181818181817,9.090909090909092,0.0,61.36363636363636,2.272727272727272,0.0,61.36363636363636,2.272727272727272
energy-y1,59,13,73.50427350427351,89.54248366013074,16.038210155857215,90.79939668174964,17.295123177476118,35.53846153846154,72.54901960784312,-0.9552538964303672,38.84615384615385,75.1131221719457,1.6088486676721974
energy-y2,57,11,65.24064171122994,86.9281045751634,21.687462863933458,91.44385026737967,26.203208556149733,41.27272727272727,69.81580510992275,4.57516339869281,32.18181818181818,69.8752228163993,4.634581105169341
heart-hungarian,19,4,65.94827586206897,56.896551724137936,-9.051724137931032,56.896551724137936,-9.051724137931036,10.25,69.39655172413794,3.448275862068967,2.5,75.86206896551724,9.913793103448278
horse-colic,19,8,60.44520547945205,63.013698630137,2.568493150684929,82.53424657534246,22.08904109589041,4.875,62.49999999999999,2.054794520547944,2.25,61.301369863013704,0.8561643835616433
ionosphere,5,4,57.14285714285714,85.35714285714286,28.21428571428571,87.14285714285715,30.0,0.75,73.92857142857143,16.78571428571428,0.0,86.42857142857143,29.28571428571428
iris,13,9,60.370370370370374,78.51851851851853,18.148148148148152,94.81481481481482,34.44444444444444,5.0,72.22222222222223,11.851851851851855,5.777777777777778,72.5925925925926,12.222222222222225
low-res-spect,59,10,59.52830188679245,76.32075471698113,16.792452830188683,85.28301886792454,25.754716981132084,20.7,78.3018867924528,18.77358490566038,13.6,79.1509433962264,19.62264150943396
lowbwt,7,3,63.96396396396397,81.08108108108108,17.117117117117118,61.26126126126126,-2.7027027027027004,2.6666666666666665,63.96396396396397,0.0,3.3333333333333335,75.67567567567568,11.71171171171171
mammographic,17,5,66.04166666666667,82.8125,16.770833333333336,81.25,15.208333333333332,7.4,73.02083333333334,6.979166666666667,5.8,78.85416666666667,12.812500000000004
meta,19,4,65.23809523809524,83.80952380952381,18.571428571428573,89.04761904761904,23.809523809523807,14.5,53.09523809523809,-12.142857142857146,1.25,53.09523809523809,-12.142857142857146
mfeat-morphological,17,6,88.41666666666667,99.25,10.833333333333341,99.79166666666667,11.375000000000005,11.666666666666666,81.625,-6.791666666666667,5.5,89.04166666666667,0.6249999999999997
molec-biol-splice,57,21,74.57829526795044,85.89341692789965,11.315121659949249,88.52067472757128,13.942379459620842,24.666666666666668,78.0564263322884,3.478131064337961,25.952380952380953,77.86236751753992,3.28407224958949
monks-1,51,17,72.1250662427133,67.56756756756758,-4.5574986751457365,74.56279809220986,2.4377318494965543,30.41176470588235,75.09273979862215,2.967673555908849,29.294117647058822,73.07896131425544,0.95389507154213
monks-3,27,10,73.8181818181818,88.36363636363636,14.545454545454547,82.72727272727273,8.90909090909091,15.1,73.0909090909091,-0.7272727272727254,14.8,74.18181818181817,0.3636363636363659
oocytes_merluccius_states_2f,21,5,68.52941176470588,81.37254901960785,12.843137254901965,86.47058823529412,17.94117647058824,7.4,85.68627450980394,17.156862745098046,7.4,76.5686274509804,8.039215686274513
oocytes_trisopterus_states_5b,17,11,60.58941058941058,76.92307692307692,16.333666333666336,88.31168831168831,27.722277722277724,6.545454545454546,79.22077922077924,18.63136863136863,5.454545454545454,76.82317682317681,16.233766233766232
parkinsons,3,4,69.23076923076923,86.53846153846155,17.307692307692307,87.17948717948718,17.94871794871795,0.0,69.23076923076923,0.0,0.0,80.12820512820514,10.897435897435898
pittsburg-bridges-MATERIAL,5,3,49.206349206349195,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,1.3333333333333333,87.3015873015873,38.095238095238095,1.3333333333333333,87.3015873015873,38.095238095238095
prnn_synth,13,4,60.5,80.0,19.5,74.0,13.499999999999996,4.0,71.0,10.5,3.5,71.0,10.5
rabe_131,3,6,66.66666666666667,60.0,-6.666666666666669,66.66666666666667,0.0,0.0,63.333333333333336,-3.3333333333333344,0.0,65.0,-1.6666666666666698
schlvote,3,3,38.095238095238095,85.71428571428571,47.61904761904761,23.809523809523807,-14.285714285714285,0.0,61.9047619047619,23.809523809523807,0.0,57.14285714285714,19.047619047619047
seeds,15,8,57.4404761904762,80.95238095238095,23.511904761904763,85.11904761904762,27.678571428571423,7.125,62.5,5.059523809523811,7.75,61.9047619047619,4.464285714285715
soybean,59,21,58.29831932773109,52.205882352941195,-6.09243697478991,85.1890756302521,26.89075630252101,14.380952380952381,60.53921568627452,2.2408963585434187,18.428571428571427,60.609243697479,2.3109243697479007
spect,3,2,36.79245283018868,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,75.47169811320755,38.67924528301887,0.0,76.41509433962264,39.622641509433976
squash-unstored,5,6,61.666666666666664,80.0,18.33333333333334,56.666666666666664,-5.0,1.1666666666666667,61.666666666666664,1.1842378929335002e-15,1.1666666666666667,61.666666666666664,1.1842378929335002e-15
statlog-image,57,22,69.37229437229438,88.75442739079102,19.382133018496656,91.44037780401415,22.068083431719796,31.363636363636363,73.05194805194806,3.6796536796536796,39.18181818181818,77.67611176702086,8.303817394726487
synthetic-control,39,19,68.6842105263158,66.79824561403508,-1.8859649122807072,89.34210526315789,20.657894736842106,11.473684210526315,72.80701754385964,4.12280701754386,8.789473684210526,71.9298245614035,3.245614035087718
tic-tac-toe,49,11,79.29557353641123,71.20418848167539,-8.091385054735845,91.14707282246549,11.851499286054262,35.81818181818182,79.58115183246073,0.2855782960495005,25.454545454545453,79.29557353641123,-1.6148698540002277e-16
transplant,7,4,56.73076923076923,88.46153846153847,31.730769230769234,74.03846153846155,17.30769230769231,0.0,70.1923076923077,13.461538461538463,0.0,70.1923076923077,13.461538461538463
vertebral-column-2clases,9,3,55.376344086021504,70.96774193548387,15.591397849462368,72.58064516129032,17.204301075268813,6.666666666666667,63.97849462365591,8.602150537634406,6.666666666666667,50.53763440860215,-4.838709677419356
