name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,STAT_SFLDT average wasted effort,STAT_SFLDT average fix accuracy,STAT_SFLDT average fix accuracy increase,STAT_BARINEL_Paths_After average wasted effort,STAT_BARINEL_Paths_After average fix accuracy,STAT_BARINEL_Paths_After average fix accuracy increase
synthetic-control,39,19,68.68421052631577,66.79824561403508,-1.8859649122807067,89.34210526315789,20.657894736842103,8.789473684210526,71.9298245614035,3.2456140350877183,1.368421052631579,68.94736842105262,0.26315789473684176
tic-tac-toe,49,11,79.29557353641123,71.20418848167539,-8.091385054735843,91.14707282246549,11.851499286054258,26.545454545454547,79.29557353641123,-4.0371746350005693e-17,1.4545454545454546,78.53403141361255,-0.7615421227986681
transplant,7,4,56.73076923076923,88.46153846153847,31.730769230769234,74.03846153846155,17.30769230769231,0.0,70.1923076923077,13.461538461538463,0.0,62.5,5.769230769230768
vertebral-column-2clases,9,3,55.376344086021504,70.96774193548387,15.591397849462368,72.58064516129032,17.204301075268813,6.666666666666667,50.53763440860215,-4.838709677419356,1.3333333333333333,77.41935483870968,22.043010752688172
vertebral-column-3clases,9,6,51.34408602150537,69.35483870967742,18.01075268817205,59.13978494623657,7.795698924731184,3.8333333333333335,64.24731182795699,12.903225806451614,1.5,53.2258064516129,1.881720430107527
vote,29,15,75.17241379310344,90.26819923371646,15.09578544061303,82.29885057471265,7.126436781609195,14.266666666666667,82.83524904214558,7.662835249042145,0.7333333333333333,75.86206896551722,0.689655172413793
wall-following,41,21,65.56239361005629,95.94954388721575,30.387150277159442,96.30745056959537,30.745056959539088,22.857142857142858,82.96887957749554,17.406485967439224,0.9047619047619048,76.87137183012527,11.308978220068962
wine,9,7,64.89795918367346,62.0408163265306,-2.857142857142858,91.83673469387756,26.938775510204078,2.7142857142857144,70.61224489795919,5.714285714285715,1.4285714285714286,64.89795918367346,-7.61295788314393e-16
zoo,15,9,67.22222222222223,75.0,7.777777777777778,90.0,22.77777777777778,4.888888888888889,80.0,12.777777777777779,1.3333333333333333,67.22222222222223,0.0
TOTAL,29.565022421524663,8.10909090909091,63.623352742940604,76.95384765310077,13.330494910160159,82.77158868399775,19.14823594105716,12.701793721973095,74.6469777719942,11.023625029053607,0.9573991031390134,66.91794893170318,3.2945961887625703
