drift description,drifted features types,tree size,after accuracy decrease,after retrain accuracy,after retrain accuracy increase,before after retrain accuracy,before after retrain accuracy increase,BARINEL_Features faulty nodes indicies,BARINEL_Features faulty features,BARINEL_Features wasted effort,BARINEL_Features fix accuracy,BARINEL_Features fix accuracy increase
mammographic__NumericFeature[f1;-2std],numeric,17,73.95833333333334,82.8125,8.854166666666663,77.08333333333334,3.125,"5, 9, 7, 8, 11, 12, 14, 15, 16","target, target, target, target, target, target, target, target, target",9,58.333333333333336,-15.625
mammographic__NumericFeature[f1;-1std],numeric,17,73.95833333333334,82.8125,8.854166666666663,80.20833333333334,6.25,"5, 9, 7, 8, 11, 12, 14, 15, 16","target, target, target, target, target, target, target, target, target",9,58.333333333333336,-15.625
"meta__CategoricalFeature[Alg_Name_Cascade=True;p=0,3]",binary,19,75.23809523809524,83.80952380952381,8.571428571428575,90.47619047619048,15.238095238095239,"4, 5, 8, 11, 10, 13, 14, 16, 17, 18","target, target, target, target, target, target, target, target, target, target",10,60.0,-15.238095238095239
"meta__CategoricalFeature[Alg_Name_Cascade=True;p=0,5]",binary,19,67.61904761904762,83.80952380952381,16.19047619047619,88.57142857142857,20.952380952380945,12,Hx,1,67.61904761904762,0.0
"meta__CategoricalFeature[Alg_Name_Cascade=True;p=0,7]",binary,19,61.904761904761905,83.80952380952381,21.904761904761905,88.57142857142857,26.66666666666666,12,Hx,1,61.904761904761905,0.0
"meta__CategoricalFeature[Alg_Name_Cascade=True;p=0,9]",binary,19,56.19047619047619,83.80952380952381,27.61904761904762,88.57142857142857,32.38095238095238,12,Hx,1,56.19047619047619,0.0
mfeat-morphological__NumericFeature[att3;+2std],numeric,17,90.25,99.25,9.000000000000007,98.75,8.500000000000007,"3, 4, 8, 12, 9, 10, 14, 15, 16","target, target, target, target, target, target, target, target, target",5,95.5,5.249999999999999
mfeat-morphological__NumericFeature[att6;-2std],numeric,17,80.25,98.25,18.000000000000004,100.0,19.75,"3, 4, 8, 12, 9, 10, 14, 15, 16","target, target, target, target, target, target, target, target, target",8,90.25,9.999999999999998
mfeat-morphological__NumericFeature[att6;-1std],numeric,17,89.25,98.75,9.500000000000009,100.0,10.750000000000004,"3, 4, 8, 12, 9, 10, 14, 15, 16","target, target, target, target, target, target, target, target, target",8,89.5,0.2500000000000058
mfeat-morphological__NumericFeature[att6;+0.5std],numeric,17,90.25,99.75,9.500000000000009,100.0,9.750000000000004,"0, 2, 6","att6, att6, att6",0,99.75,9.500000000000009
mfeat-morphological__NumericFeature[att6;+1std],numeric,17,90.25,99.75,9.500000000000009,100.0,9.750000000000004,"0, 2, 6","att6, att6, att6",0,99.75,9.500000000000009
mfeat-morphological__NumericFeature[att6;+2std],numeric,17,90.25,99.75,9.500000000000009,100.0,9.750000000000004,"0, 2, 6","att6, att6, att6",0,99.75,9.500000000000009
molec-biol-splice__NumericFeature[f29;+0.5std],numeric,57,71.78683385579937,85.8934169278997,14.106583072100321,92.78996865203762,21.003134796238243,"1, 5, 8, 11, 16, 3, 10, 13, 22, 40","f29, f29, f29, f29, f29, f30, f30, f30, f30, f30",5,78.0564263322884,6.269592476489027
molec-biol-splice__NumericFeature[f29;+1std],numeric,57,71.78683385579937,85.8934169278997,14.106583072100321,86.99059561128527,15.2037617554859,"1, 5, 8, 11, 16, 3, 10, 13, 22, 40","f29, f29, f29, f29, f29, f30, f30, f30, f30, f30",5,78.0564263322884,6.269592476489027
molec-biol-splice__NumericFeature[f29;+2std],numeric,57,71.78683385579937,85.8934169278997,14.106583072100321,87.14733542319749,15.36050156739812,"1, 5, 8, 11, 16, 3, 10, 13, 22, 40","f29, f29, f29, f29, f29, f30, f30, f30, f30, f30",5,92.16300940438872,20.376175548589348
molec-biol-splice__NumericFeature[f31;-2std],numeric,57,74.76489028213166,85.8934169278997,11.128526645768034,83.69905956112854,8.934169278996873,"4, 9, 14, 18, 21, 30, 37, 38, 20, 53, 54, 51, 52, 25, 33, 32, 27, 28, 41, 42, 48, 49, 50, 43, 55, 45, 46, 57, 58","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",29,79.78056426332289,5.0156739811912265
molec-biol-splice__NumericFeature[f31;-1std],numeric,57,73.04075235109718,85.8934169278997,12.852664576802509,88.40125391849529,15.36050156739811,"4, 9, 14, 18, 21, 30, 37, 38, 20, 53, 54, 51, 52, 25, 33, 32, 27, 28, 41, 42, 48, 49, 50, 43, 55, 45, 46, 57, 58","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",29,69.27899686520375,-3.7617554858934255
molec-biol-splice__NumericFeature[f31;+1std],numeric,57,70.6896551724138,85.8934169278997,15.2037617554859,83.69905956112854,13.00940438871474,"4, 9, 14, 18, 21, 30, 37, 38, 20, 53, 54, 51, 52, 25, 33, 32, 27, 28, 41, 42, 48, 49, 50, 43, 55, 45, 46, 57, 58","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",29,69.59247648902821,-1.0971786833855801
molec-biol-splice__NumericFeature[f31;+2std],numeric,57,68.80877742946709,85.8934169278997,17.084639498432608,88.87147335423198,20.062695924764895,"4, 9, 14, 18, 21, 30, 37, 38, 20, 53, 54, 51, 52, 25, 33, 32, 27, 28, 41, 42, 48, 49, 50, 43, 55, 45, 46, 57, 58","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",29,67.24137931034483,-1.5673981191222541
molec-biol-splice__NumericFeature[f32;-2std],numeric,57,75.07836990595611,85.8934169278997,10.815047021943581,73.04075235109718,-2.037617554858928,"4, 9, 14, 18, 21, 30, 37, 38, 20, 53, 54, 51, 52, 25, 33, 32, 27, 28, 41, 42, 48, 49, 50, 43, 55, 45, 46, 57, 58","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",29,79.78056426332289,4.702194357366773
molec-biol-splice__NumericFeature[f32;-1std],numeric,57,75.07836990595611,85.8934169278997,10.815047021943581,86.67711598746082,11.598746081504707,"4, 9, 14, 18, 21, 30, 37, 38, 20, 53, 54, 51, 52, 25, 33, 32, 27, 28, 41, 42, 48, 49, 50, 43, 55, 45, 46, 57, 58","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",29,79.78056426332289,4.702194357366773
molec-biol-splice__NumericFeature[f32;-0.5std],numeric,57,75.07836990595611,85.8934169278997,10.815047021943581,92.78996865203762,17.711598746081503,"4, 9, 14, 18, 21, 30, 37, 38, 20, 53, 54, 51, 52, 25, 33, 32, 27, 28, 41, 42, 48, 49, 50, 43, 55, 45, 46, 57, 58","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",29,79.78056426332289,4.702194357366773
molec-biol-splice__NumericFeature[f35;+0.5std],numeric,57,78.84012539184953,85.8934169278997,7.053291536050166,90.9090909090909,12.06896551724138,"4, 9, 14, 18, 21, 30, 37, 38, 20, 53, 54, 51, 52, 25, 33, 32, 27, 28, 41, 42, 48, 49, 50, 43, 55, 45, 46, 57, 58","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",29,90.9090909090909,12.06896551724138
molec-biol-splice__NumericFeature[f35;+1std],numeric,57,78.84012539184953,85.8934169278997,7.053291536050166,89.18495297805643,10.344827586206906,"4, 9, 14, 18, 21, 30, 37, 38, 20, 53, 54, 51, 52, 25, 33, 32, 27, 28, 41, 42, 48, 49, 50, 43, 55, 45, 46, 57, 58","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",29,90.9090909090909,12.06896551724138
