drift description,tree size,after accuracy decrease precentage,faulty node index,faulty feature,fix accuracy increase precentage
audiology-std__NumericFeature[f51;-2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f51;-1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f51;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f51;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f51;+1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f51;+2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f6;-2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f6;-1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f6;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f6;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f6;+1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f6;+2std],43,5.263157894736836,23,f57,0.0
audiology-std__NumericFeature[f14;-2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f14;-1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f14;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f14;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f14;+1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f14;+2std],43,5.263157894736836,13,f57,0.0
audiology-std__NumericFeature[f55;-2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f55;-1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f55;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f55;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f55;+1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f55;+2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f2;-2std],43,15.78947368421052,1,f15,0.0
audiology-std__NumericFeature[f2;-1std],43,15.78947368421052,1,f15,0.0
audiology-std__NumericFeature[f2;-0.5std],43,15.78947368421052,1,f15,0.0
audiology-std__NumericFeature[f2;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f2;+1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f2;+2std],43,15.78947368421052,1,f15,0.0
audiology-std__NumericFeature[f18;-2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f18;-1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f18;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f18;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f18;+1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f18;+2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f57;-2std],43,-10.526315789473683,12,,-2.564102564102566
audiology-std__NumericFeature[f57;-1std],43,-10.526315789473683,31,f49,0.0
audiology-std__NumericFeature[f57;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f57;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f57;+1std],43,47.368421052631575,1,f15,0.0
audiology-std__NumericFeature[f57;+2std],43,52.63157894736842,1,f15,0.0
audiology-std__NumericFeature[f49;-2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f49;-1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f49;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f49;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f49;+1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f49;+2std],43,0.0,13,f57,0.0
